region,country_code,country,year,sex,hrs_unpaid_dom_care_work,prop_internet,hrs_dom_care_work,labor_force,prop_self_employed,prop_nat_parl,prop_female_judge,prop_family_worker,prop_employers,perc_industrial,perc_service,key
Southern Asia,64,Bhutan,2006,Female,3.18,NA,8.42,42.7,15,9.3,NA,64.69,0,5.63,22.4,Southern Asia--64--Bhutan--2006--Female
Southern Asia,64,Bhutan,2006,Male,1.22,NA,7.13,40.7,13.44,NA,NA,45.98,0.32,9.07,35.4,Southern Asia--64--Bhutan--2006--Male
Southern Asia,356,India,1998,Female,4.35,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,Southern Asia--356--India--1998--Female
Southern Asia,356,India,1998,Male,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Southern Asia--356--India--1998--Male
Southern Asia,364,Iran (Islamic Republic of),2008,Female,5.05,NA,5.77,12.15,22.66,4.1,NA,29.7,0.86,27.3,41.91,Southern Asia--364--Iran (Islamic Republic of)--2008--Female
Southern Asia,364,Iran (Islamic Republic of),2008,Male,1.25,NA,5.98,45.42,35.13,NA,NA,4.8,5.65,33.22,47.37,Southern Asia--364--Iran (Islamic Republic of)--2008--Male
Southern Asia,586,Pakistan,2007,Female,4.77,NA,6.08,18.45,13.36,21.3,NA,61.9,0.13,12.63,15,Southern Asia--586--Pakistan--2007--Female
Southern Asia,586,Pakistan,2007,Male,0.43,NA,5.82,69.17,39.81,NA,NA,18.58,0.99,23.06,40.46,Southern Asia--586--Pakistan--2007--Male
Developed regions,8,Albania,2010,Female,5.22,NA,7.15,37.4,18.7,16.4,0.4,43.3,0.5,10.8,36.6,Developed regions--8--Albania--2010--Female
Developed regions,8,Albania,2010,Male,0.83,NA,5.1,51.5,35.9,NA,NA,13.2,2.4,28.3,38.5,Developed regions--8--Albania--2010--Male
Developed regions,36,Australia,2006,Female,5,NA,7.57,69.49,8.11,24.7,NA,0.41,5.1,9.54,88.08,Developed regions--36--Australia--2006--Female
Developed regions,36,Australia,2006,Male,2.73,NA,7.42,72.07,14.21,NA,NA,0.24,8.9,31.23,64.46,Developed regions--36--Australia--2006--Male
Developed regions,36,Australia,1997,Female,4.87,NA,NA,67.52,8.77,15.5,NA,1.31,5.51,11.21,85.22,Developed regions--36--Australia--1997--Female
Developed regions,36,Australia,1997,Male,2.62,NA,NA,72.53,14.04,NA,NA,0.61,8.96,NA,NA,Developed regions--36--Australia--1997--Male
Developed regions,40,Austria,2008,Female,4.07,66.87,6.5,56.16,5.82,32.8,0.46,2.66,2.62,12.3,82.47,Developed regions--40--Austria--2008--Female
Developed regions,40,Austria,2008,Male,2.08,78.98,6.08,62.9,7.15,NA,NA,2.02,6.44,38.03,56.71,Developed regions--40--Austria--2008--Male
Developed regions,56,Belgium,2005,Female,3.6,55.76,5.3,32.33,6.55,34.7,NA,3.4,2.31,11.35,87.16,Developed regions--56--Belgium--2005--Female
Developed regions,56,Belgium,2005,Female,3.6,55.76,6.43,32.33,6.55,34.7,NA,3.4,2.31,11.35,87.16,Developed regions--56--Belgium--2005--Female
Developed regions,56,Belgium,2005,Female,3.6,55.76,6.32,32.33,6.55,34.7,NA,3.4,2.31,11.35,87.16,Developed regions--56--Belgium--2005--Female
Developed regions,56,Belgium,2005,Female,4.18,55.76,5.3,32.33,6.55,34.7,NA,3.4,2.31,11.35,87.16,Developed regions--56--Belgium--2005--Female
Developed regions,56,Belgium,2005,Female,4.18,55.76,6.43,32.33,6.55,34.7,NA,3.4,2.31,11.35,87.16,Developed regions--56--Belgium--2005--Female
Developed regions,56,Belgium,2005,Female,4.18,55.76,6.32,32.33,6.55,34.7,NA,3.4,2.31,11.35,87.16,Developed regions--56--Belgium--2005--Female
Developed regions,56,Belgium,2005,Female,3.82,55.76,5.3,32.33,6.55,34.7,NA,3.4,2.31,11.35,87.16,Developed regions--56--Belgium--2005--Female
Developed regions,56,Belgium,2005,Female,3.82,55.76,6.43,32.33,6.55,34.7,NA,3.4,2.31,11.35,87.16,Developed regions--56--Belgium--2005--Female
Developed regions,56,Belgium,2005,Female,3.82,55.76,6.32,32.33,6.55,34.7,NA,3.4,2.31,11.35,87.16,Developed regions--56--Belgium--2005--Female
Developed regions,56,Belgium,2005,Male,2.22,63.89,5.9,37.63,10.68,NA,NA,0.39,6.46,35.01,62.52,Developed regions--56--Belgium--2005--Male
Developed regions,56,Belgium,2005,Male,2.22,63.89,5.98,37.63,10.68,NA,NA,0.39,6.46,35.01,62.52,Developed regions--56--Belgium--2005--Male
Developed regions,56,Belgium,2005,Male,2.22,63.89,5.08,37.63,10.68,NA,NA,0.39,6.46,35.01,62.52,Developed regions--56--Belgium--2005--Male
Developed regions,56,Belgium,2005,Male,2.45,63.89,5.9,37.63,10.68,NA,NA,0.39,6.46,35.01,62.52,Developed regions--56--Belgium--2005--Male
Developed regions,56,Belgium,2005,Male,2.45,63.89,5.98,37.63,10.68,NA,NA,0.39,6.46,35.01,62.52,Developed regions--56--Belgium--2005--Male
Developed regions,56,Belgium,2005,Male,2.45,63.89,5.08,37.63,10.68,NA,NA,0.39,6.46,35.01,62.52,Developed regions--56--Belgium--2005--Male
Developed regions,56,Belgium,2005,Male,2.15,63.89,5.9,37.63,10.68,NA,NA,0.39,6.46,35.01,62.52,Developed regions--56--Belgium--2005--Male
Developed regions,56,Belgium,2005,Male,2.15,63.89,5.98,37.63,10.68,NA,NA,0.39,6.46,35.01,62.52,Developed regions--56--Belgium--2005--Male
Developed regions,56,Belgium,2005,Male,2.15,63.89,5.08,37.63,10.68,NA,NA,0.39,6.46,35.01,62.52,Developed regions--56--Belgium--2005--Male
Developed regions,56,Belgium,1998,Female,3.85,NA,NA,29.41,10.05,12.7,NA,4.14,0.82,10.51,81.52,Developed regions--56--Belgium--1998--Female
Developed regions,56,Belgium,1998,Female,4.03,NA,NA,29.41,10.05,12.7,NA,4.14,0.82,10.51,81.52,Developed regions--56--Belgium--1998--Female
Developed regions,56,Belgium,1998,Male,2.13,NA,NA,35.75,16.03,NA,NA,0.48,2.51,36.05,57.66,Developed regions--56--Belgium--1998--Male
Developed regions,56,Belgium,1998,Male,2.22,NA,NA,35.75,16.03,NA,NA,0.48,2.51,36.05,57.66,Developed regions--56--Belgium--1998--Male
Developed regions,56,Belgium,2013,Female,3.82,80.17,5.78,28.24,6.96,38,NA,1.48,2.27,8.59,90.57,Developed regions--56--Belgium--2013--Female
Developed regions,56,Belgium,2013,Male,2.42,84.19,5.48,33.66,12.34,NA,NA,0.43,6.02,32.84,65.37,Developed regions--56--Belgium--2013--Male
Developed regions,100,Bulgaria,2009,Female,4.43,43.11,6.72,24.81,6.22,21.7,NA,1.53,2.07,26.89,67.74,Developed regions--100--Bulgaria--2009--Female
Developed regions,100,Bulgaria,2009,Male,2.22,46.98,5.38,34.02,9.51,NA,NA,0.57,4.73,42.57,48.83,Developed regions--100--Bulgaria--2009--Male
Developed regions,100,Bulgaria,2001,Female,5.02,NA,NA,32.57,7.85,10.8,NA,1.96,1.85,28.82,63.94,Developed regions--100--Bulgaria--2001--Female
Developed regions,100,Bulgaria,2001,Male,2.62,NA,NA,36.84,11.89,NA,NA,1.18,5.23,36.29,51.55,Developed regions--100--Bulgaria--2001--Male
Developed regions,112,Belarus,2014,Female,4.6,56.51,8.07,NA,NA,NA,NA,NA,NA,NA,NA,Developed regions--112--Belarus--2014--Female
Developed regions,112,Belarus,2014,Male,2.28,62.59,7.15,NA,NA,NA,NA,NA,NA,NA,NA,Developed regions--112--Belarus--2014--Male
Developed regions,124,Canada,2005,Female,3.8,NA,7.3,65.7,8.23,21.1,NA,0.21,3.05,10.6,87.84,Developed regions--124--Canada--2005--Female
Developed regions,124,Canada,2005,Male,2.3,NA,7.2,66.03,11.7,NA,NA,0.12,7.42,32.12,64.13,Developed regions--124--Canada--2005--Male
Developed regions,124,Canada,2010,Female,3.88,79.17,7.28,64.82,8.71,22.1,NA,0.14,2.69,8.58,90.31,Developed regions--124--Canada--2010--Female
Developed regions,124,Canada,2010,Male,2.48,81.47,7.08,64.17,12.49,NA,NA,0.07,7.15,30.76,66.8,Developed regions--124--Canada--2010--Male
Developed regions,124,Canada,1998,Female,4.05,NA,NA,60.12,9.52,20.6,NA,0.66,3.15,11.76,85.91,Developed regions--124--Canada--1998--Female
Developed regions,124,Canada,1998,Male,2.4,NA,NA,63.44,12.25,NA,NA,0.22,7.97,32.17,62.77,Developed regions--124--Canada--1998--Male
Developed regions,208,Denmark,2008,Female,3.75,83.58,6,71.47,2.78,38,0.58,0.52,1.68,12.25,86.66,Developed regions--208--Denmark--2008--Female
Developed regions,208,Denmark,2008,Male,2.7,86.45,6.15,72.82,6.18,NA,NA,0.3,5.77,32.65,63.52,Developed regions--208--Denmark--2008--Male
Developed regions,208,Denmark,2001,Female,3.5,NA,NA,65.02,2.01,37.4,NA,1.47,1.21,14.41,83.76,Developed regions--208--Denmark--2001--Female
Developed regions,208,Denmark,2001,Male,2.43,NA,NA,69.35,5.67,NA,NA,0.32,6.5,34.79,59.79,Developed regions--208--Denmark--2001--Male
